id,name,isMain,word_id
58517,прилагательное,0,20539
58518,глагол,0,20539
58519,существительное,1,20553
58520,существительное,1,20567
58521,прилагательное,0,20567
58522,глагол,0,20567
58523,прилагательное,1,20579
58524,глагол,1,20589
58525,существительное,0,20589
58526,существительное,1,20597
58527,глагол,0,20597
58528,прилагательное,1,20598
58529,глагол,1,20599
58530,существительное,1,20609
58531,существительное,1,20609
58532,прилагательное,1,20618
58533,прилагательное,1,20624
58534,существительное,1,20631
58535,глагол,0,20631
58536,имя собственное,0,20631
58537,существительное,1,20633
58538,глагол,0,20633
58539,глагол,1,20644
58540,существительное,0,20644
58541,существительное,1,20646
58542,глагол,1,20670
58543,существительное,1,20673
58544,существительное,1,20678
58545,прилагательное,1,20684
58546,глагол,0,20684
58547,существительное,1,20686
58548,существительное,1,20695
58549,глагол,1,20702
58550,существительное,0,20702
58551,существительное,1,20708
58552,прилагательное,0,20708
58553,глагол,0,20708
58554,имя собственное,0,20708
58555,существительное,1,20709
58556,существительное,1,20709
58557,существительное,1,20709
58558,существительное,1,20716
58559,прилагательное,1,20726
58560,прилагательное,1,20747
58561,существительное,1,20753
58562,существительное,1,20765
58563,глагол,1,20766
58564,существительное,1,20774
58565,прилагательное,1,20780
58566,существительное,1,20781
58567,глагол,1,20823
58568,существительное,1,20848
58569,глагол,0,20848
58570,глагол,1,20852
58571,прилагательное,1,20886
58572,имя собственное,1,20894
58573,существительное,0,20894
58574,глагол,0,20894
58575,существительное,1,20917
58576,глагол,0,20917
58577,имя собственное,0,20917
58578,существительное,1,20938
58579,прилагательное,1,20944
58580,существительное,1,24366
58581,существительное,1,24368
58582,существительное,1,24371
58583,существительное,1,24373
58584,имя собственное,0,24373
58585,существительное,1,24376
58586,глагол,1,24380
58587,существительное,1,24388
58588,существительное,1,24393
58589,существительное,1,24396
58590,прилагательное,0,24396
58591,существительное,1,24396
58592,существительное,1,24396
58593,наречие,1,24397
58594,прилагательное,1,24412
58595,существительное,1,24416
58596,существительное,1,24417
58597,существительное,1,24419
58598,существительное,1,24420
58599,наречие,1,24421
58600,существительное,1,24430
58601,прилагательное,1,24434
58602,глагол,1,24439
58603,прилагательное,1,24444
58604,глагол,1,24451
58605,существительное,1,24453
58606,глагол,1,24455
58607,существительное,1,24460
58608,существительное,1,24462
58609,существительное,1,24468
58610,прилагательное,1,24469
58611,глагол,0,24469
58612,существительное,1,24471
58613,существительное,1,24478
58614,существительное,1,24491
58615,прилагательное,0,24491
58616,глагол,0,24491
58617,прилагательное,1,24494
58618,существительное,0,24494
58619,глагол,1,24497
58620,прилагательное,1,24507
58621,глагол,0,24507
58622,прилагательное,1,24510
58623,существительное,1,24512
58624,существительное,1,24518
58625,существительное,1,24525
58626,существительное,1,24537
58627,глагол,0,24537
58628,прилагательное,1,24540
58629,существительное,1,24541
58630,прилагательное,1,24543
58631,существительное,1,24546
58632,существительное,1,24549
58633,глагол,0,24549
58634,имя собственное,0,24549
58635,существительное,1,24550
58636,глагол,1,24555
58637,глагол,1,24564
58638,существительное,1,24568
58639,существительное,1,24568
58640,существительное,1,24570
58641,существительное,1,24576
58642,существительное,1,24580
58643,прилагательное,1,24582
58644,существительное,1,24584
58645,глагол,0,24584
58646,глагол,1,24587
58647,существительное,1,24601
58648,существительное,1,24604
58649,существительное,1,24605
58650,глагол,0,24605
58651,глагол,1,24607
58652,существительное,1,24617
58653,глагол,1,24621
58654,глагол,1,24630
58655,существительное,1,24639
58656,существительное,1,24640
58657,прилагательное,1,24642
58658,глагол,0,24642
58659,прилагательное,1,24647
58660,существительное,1,24656
